TransactionID,ItemDescription
1,"Milk,Bread,Butter"
2,"Milk,Butter,Bread"
3,"Milk,Butter,Bread,Beer"
4,"Milk,Bread,Jam"
5,"Bread,Milk,Butter"
6,"Milk,Bread"
7,"Milk,Bread,Butter"
8,"Bread,Milk,Butter,Cheese"
9,"Bread,Butter,Coke"
10,"Bread,Milk,Cheese"
11,"Milk,Butter,Bread"
12,"Bread,Milk"
13,"Milk,Bread,Butter,Coke"
14,"Milk,Bread,Butter,Eggs"
15,"Butter,Milk"
16,"Milk,Butter"
17,"Bread,Milk,Butter,Jam,Eggs"
18,"Milk,Butter,Bread"
19,"Milk,Bread"
20,"Bread,Milk,Coke,Jam"
21,"Butter,Bread,Milk"
22,"Butter,Milk"
23,"Butter,Milk,Bread,Jam"
24,"Butter,Milk,Bread"
25,"Milk,Bread,Butter,Coke"
26,"Milk,Bread,Beer,Butter"
27,"Bread,Milk,Coke,Butter"
28,"Bread,Butter,Milk,Eggs,Juice"
29,"Bread,Butter,Coke"
30,"Bread,Butter,Milk,Jam"
31,"Milk,Butter"
32,"Milk,Butter,Bread"
33,"Milk,Bread,Butter,Eggs"
34,"Butter,Milk,Bread"
35,"Butter,Milk,Bread"
36,"Milk,Butter,Bread"
37,"Milk,Butter,Bread,Juice"
38,"Bread,Milk,Cheese"
39,"Butter,Milk,Bread"
40,"Milk,Butter,Coke"
41,"Milk,Bread,Butter"
42,"Bread,Butter,Milk"
43,"Butter,Milk,Bread"
44,"Butter,Milk,Coke"
45,"Butter,Bread,Milk"
46,"Butter,Milk,Coke"
47,"Butter,Milk,Bread,Eggs"
48,"Milk,Bread,Butter"
49,"Bread,Butter"
50,"Butter,Milk,Bread"
51,"Bread,Milk"
52,"Butter,Milk,Juice"
53,"Butter,Bread,Milk"
54,"Bread,Butter,Milk,Coke,Jam"
55,"Butter,Bread"
56,"Bread,Milk"
57,"Milk,Bread,Butter"
58,"Butter,Bread,Milk"
59,"Milk,Butter"
60,"Butter,Bread,Coke,Juice"
61,"Bread,Milk"
62,"Butter,Milk,Bread"
63,"Bread,Milk,Butter,Eggs"
64,"Butter,Milk,Bread"
65,"Milk,Bread,Butter,Beer"
66,"Bread,Butter,Milk"
67,"Bread,Milk,Butter"
68,"Bread,Butter,Milk"
69,"Milk,Butter"
70,"Bread,Butter"
